id,composition,Eg
130,Tm1Fe1Ge2O7,2.5747
131,Gd1Si2,0.013999999999999345
132,Ni1Rh1F6,0.010099999999999998
133,Gd1Al3Pd2,0.02160000000000029
134,Ce2Mg1Cu2,0.004700000000000593
135,As1Se6I1F6,1.5625
136,K1Mg1H3,2.458
137,Nd1H1S1O5,5.562900000000001
138,Na1H1O1,2.8228
139,H2S1O4,6.0269
140,Sr1H2Br2O7,4.0346
142,Li1Cu1P1O4,0.0938000000000001
143,Fe1P2O7,0.0974
144,U1Cl5,0.3309
145,Ni1Cl2,0.7411999999999999
146,Hg1Br1O3,3.1924
147,K3Mn2Cl7,1.4235
148,Li1Gd1Cl4,2.1377
149,Pd1Se2Cl6,1.6964
151,Al2Cd1Cl8,3.7051
152,Dy1S1I1,2.7811
154,Na3Al1F6,6.7147
155,Na2Ce1O3,2.1101
156,Mg1Ti1O3,3.4987000000000004
157,Ba1Ti2O5,1.8349
158,Tm2Cd1S4,1.1768
159,Ag2C1O3,0.4668000000000001
160,Ag3Bi1O3,1.5236
161,Cs1Na3Pb1O4,1.4987
162,Li2Pt1O3,1.9705
163,K2Ba3Sb4,0.44410000000000016
165,Hg3S2I1Cl1,1.3739
166,As1S1,1.945
167,K2Cu1P2O7,0.2684000000000001
168,Te1As1I3F6,1.8929
169,Cd1C2O4,3.2847
172,Na1Si1B1O4,5.5023
173,Sr1P2O6,5.4198
174,Si1O2,5.522
176,K2Ca1N4O8,2.4419
177,K2Mn1F4,2.8394000000000004
178,K6Ti2S6O1,2.4831000000000003
179,Na2Fe1Cu1F7,0.05810000000000001
180,Na1Au1S2O8,1.7396
181,Zn1S1,2.0288
182,Cs1Te2O6,0.7305000000000001
183,Rb1Co1C4O4,3.8735
184,Cu3P4S4I3,1.6302
185,Au1Br1,1.9716
186,Ti1Hg6P4Cl7,0.03189999999999982
189,Cs3Na1Li2B2O6,3.4539999999999997
191,Cl1F3,2.4608
192,Fe3Pb4Cl1O8,1.0678
194,K1H3C2O3,5.133699999999998
197,Rb2Zn1Cl3,3.1934
198,Nd4Si4N7Cl1O3,3.1709000000000005
199,Pr1Y1Si2O7,0.6184000000000001
201,H8W1S4N2,1.9874
202,U1P3H7O8,2.3075
203,K3Cr1C5N6O1,0.7213
204,Cs1B6H8O7,2.0912999999999995
205,Re1Ag1O4,2.3008
209,Mn6O5F7,0.1452
210,Sm3Ta1O7,3.4282000000000004
211,Li2Ti1Co2O6,0.9135
212,Li7Mn1O4F2,2.4911
213,Fe1O1,0.4350000000000001
214,Mn1Al2O4,2.6578
215,Tb1Ce1O4,0.16639999999999988
216,Li1Cu1Si2O5,1.9408
217,Er2Ti1O5,2.998
218,Li2B1P1C1O7,5.7155
219,Li4Cr1Ga3O8,1.3628000000000002
220,Ti1Mn3O8,1.4152
221,Li7Cr2O8,0.5066999999999999
223,Li1Bi1P2O7,4.357
224,Fe1O1F1,1.2657000000000005
225,Rb2Li1V1P2O8,2.1295
228,Ba1Ca2I6,3.6009
229,Li2Fe1P1C1O7,2.4302
230,Li3Nb1V3O8,0.7161999999999997
233,Li2Fe3F8,2.9492000000000003
234,Li1Fe1F4,3.103
235,V1O2F1,1.4702000000000002
237,Li2Cu1Bi1P2O8,0.6624999999999996
239,Li2Mn1Fe1B2O6,2.7228000000000003
240,Li1Fe1P1H2O5,3.3321
243,Li1Fe1O1F2,1.7251
244,Li3V2Cr2O8,0.8467000000000002
245,P1F5,7.0881
246,Pa1Tl1O3,2.6419
248,Li1B1C1,0.8987999999999996
249,Rb1Er1S2,2.3664999999999994
250,K1P2Au1S7,1.5454
251,Er1Cr1B4,0.17039999999999988
253,Ca1Co1F4,2.9636
255,Mg1W1F4,1.0404
256,Mn1Zn1F4,3.2142
257,Ta1Zn2Co1O6,1.6697000000000002
258,Li1Mn1O2,1.0305000000000004
259,Te4Mo3S2,0.6246
260,Te4Mo1W3S4,0.5940000000000003
261,Te4Mo1W3Se2S2,0.057500000000000114
262,Sr1As1,0.08329999999999993
264,Li1Mg2Au1,1.1835
265,Cd1Fe1Rh2,0.2555999999999998
266,Y1Sc1Ag2,0.07419999999999982
267,Ba1Li2Ca1,0.07939999999999969
268,Mg2Hg1Pd1,0.5148000000000001
271,K2Li1Ce1Br6,0.2916000000000003
272,K3In1F6,5.196899999999999
273,Cs2Rb1Ir1F6,2.2444
274,Cs1Pb1I3,1.6479
275,Zn4In1Ga1O7,0.9529999999999998
280,Ho1Cu1O2,2.4917
281,Bi1O1F1,2.4281
282,Yb4Si7,0.010099999999999556
283,N1O4,0.33299999999999996
284,Mg1N1Cl3O6,0.5607
285,K1Au1Br4O2,0.3915
286,K1Cr1O2,0.5693000000000001
287,Co2Ag3Sb1O6,0.3729
288,Ba1Na2,0.00969999999999982
289,Sn1Pb1S3,1.2068000000000003
290,Ti1Cu1Hg2,0.03730000000000011
291,Mn1In2Ni1O6,1.3835999999999995
292,Tm1Cu1S2,1.7643999999999995
293,Ca2Cr1Sb1O6,2.0326000000000004
294,Y3Ta1O7,3.536
295,Sm4Ni1S7,0.3699000000000003
296,Sm1B1N2,2.2949000000000006
297,Hg1C1N2Cl2O1,0.5141
298,Sc1H3C3O6,3.8243
299,Rb1Mn1Cl3O2,0.509
301,Bi1Te1N1O6,2.7982
302,K1Sb1S2O8,4.2219999999999995
304,Ag2Pd1N4O8,1.8591
309,Na2W1O6,0.9709
312,U1B1C1O5,0.2610999999999999
313,Sb1N1Cl8O1,1.7598
315,K1Mn1P1O3F3,1.4691
317,Si1H6C2,3.6294
320,Cu1Te2Pb1O7,0.1459999999999999
321,S3N3Cl3O1,2.904
327,Mo1N2Cl5O1,0.7384
328,Ba1Pd1Se2O6,1.529
329,Zn1I6,0.1075999999999997
330,K2Tc1Br6,1.1391
331,V1P1N2O5,0.9729
332,Te1Br4,2.5202
336,Rb1Y1Se1Cl2O3,4.3342
338,Pd1Pb2F6,1.1124
339,Rb1Pr2Cl7,4.3632
340,Na3Er1Br6,4.2104
341,Hf1Te7Se1Cl6,1.0113
343,Gd1Ag1W2O8,0.4934000000000001
344,Cs2Re3Se4I3,2.0776
345,Te1Pb2Se1,0.6154000000000002
346,Sr1C1O3,4.5237
347,Sb4Te3Se3,0.2110999999999992
348,Rb1Ti3Al1O8,2.5834999999999995
351,Mg4Fe1O5,2.5396
352,Li1Sb1W1O7,0.23639999999999994
354,Li2H1N1,2.5571
356,Cs1Si2H1O5,4.694299999999999
360,Ca4Se1N4,1.6765
361,In2Ga1N3,0.07829999999999959
364,Cd1Cu2Sn1Se4,0.01360000000000028
365,Sr2Nb1N3,2.2869
366,Ca1Ga4O7,2.5344
367,Na2Ti1F6,4.666399999999999
369,Na4W1O5,3.8015
370,Gd1Ge2Pd2,0.0019000000000000128
371,Ni2Ge1O4,2.1356
372,Nd1Cl3,4.3052
375,Li1Mn1P1O4,3.4685
376,Ba3Si1S5,2.8128000000000006
377,Na2Ge1Se3,1.6129000000000002
378,Rb1Cl1O4,5.476800000000001
379,In2Si2O7,2.7008
380,Hg2P3Cl1,1.1273
382,H4S1O5,5.7206
383,Si3P2Pt1,0.5184000000000006
384,Te2O3F2,3.3405
385,Ba2Co1Cl6,0.35270000000000024
387,Pu2Se3,0.003500000000000725
388,Cs2K1Zr1O1F5,4.8766
389,Rb1Re1Cl4,1.0283
391,Fe2P1H2C1O7,2.4335
393,Sr1Bi1Br1O2,3.1599
394,Ba1Pb2Br1F5,3.2598
396,Ca3Fe2Cl2O5,1.0816
397,Er1Mo1O4F1,3.7314
398,Tl1H1C1O2,3.4859
401,Ag1As1O3,0.4985
404,Sr1Lu1Cu1Se3,1.1308000000000002
405,Fe1P4,0.8437000000000001
408,Tc1Br4,0.6025
409,Ag1Cl1,0.8739999999999999
410,Cs3Cu2Cl5,2.5338000000000003
413,Ba2Ti1Ge2O8,3.7131
415,K1B5O8,4.1303
417,K1Pb2Cl5,3.3843
418,Cs1Ti1Zn1O1F5,3.1474
420,I1F7,1.4709999999999996
421,Cs1Ta1Se3,0.2591000000000001
422,Ti1H8N2F6,4.7156
423,K2Mn1H2O1F5,1.3435
424,V1H7C4O8,1.8853
425,Ca1Zn1S1O1,2.6830000000000003
428,Li5Co2O6,0.4239999999999999
429,Li2Mn3F8,3.2136
430,Li1V1F4,2.2922
431,Li2Fe2Si1O6,2.4928
432,Li1Mn1P2O8,0.5912999999999999
433,Na3Co2O4,0.018799999999999702
434,Li2Mn1F4,3.3279
435,Li1Fe2F5,3.2456
436,Cs3La1O3,1.7368
437,Co3O1F5,1.1752
438,Na3Ge1P1C1O7,4.200100000000001
440,V2O3F3,0.9856
442,Li1V1P2O7,2.5980000000000003
445,Li8Ti1S6,2.6980000000000004
446,Gd2As1O5,2.2487000000000004
448,Y2Ge1O5,3.402
449,Ho2Te1O2,0.5903
450,Li2Hf1O3,4.1342
452,Nb1V1O5,2.0402
453,Na2Co1As1C1O7,0.8248999999999999
456,Li1Fe2O1F5,2.4953
457,Li1Co1P1O4F1,0.4081000000000001
459,Li2V1O2F1,1.0884
463,Li1Mn2B2O6,0.10670000000000003
465,Lu1H3,0.03670000000000062
466,Na1Tl1O1,0.1816
467,K1F3,0.6421000000000001
468,Mg1Al2C2,1.7218999999999998
469,Na2Cr1H2F8,1.8334
470,Cu1H1O2,0.5390999999999999
471,Cu1Bi1O2,0.8635999999999999
473,Ca1Mn2O4,1.524
474,Zn1Cr2O4,1.5494999999999997
475,Zn1Co1F5,1.5869
476,Ca1Ni1F5,2.0976
477,Ce1O2,1.9556
478,C1N2,4.6433
480,Te1Mo2Se2S1,0.3118999999999996
481,Na1Ni1N1,0.1730999999999998
482,Te2Mo1W1Se1S1,0.9864000000000002
483,Tb2O3,3.9006
484,Pb1S1,0.5556000000000001
485,Ni1Cl2O2,0.4716
486,Ba2Cd1As2,0.3878999999999997
487,Na4Zn1Se3,1.6877
488,Ba1Tb1Ag1S3,1.0051
489,Sb1Ir1Se1,1.2113000000000005
490,Sc1Ag1Hg2,0.0804999999999998
491,K1Nd1Te4,0.14970000000000014
492,V6O7F5,0.7286000000000001
494,Cs2K1Pr1Cl6,5.0013000000000005
495,Cs2Pr1Cu1Br6,2.0604000000000005
496,Li4Mn3O7,0.4469999999999996
497,Li2Fe3W1O8,1.3138
498,Li2Mn3Sn1O8,0.5568999999999997
499,Fe4O3F5,1.1445
500,Dy2Pt2O7,1.4061000000000003
503,Ca1Al1O2F4,0.2029
504,Li1H2N1,3.9371
505,Li1In1W2O8,3.3852
506,Cs2Cu2Sb2S5,1.1033999999999995
507,La2Mn1Se2O2,1.6504000000000003
511,Tl1V1P1O6,0.2723
515,Ca1Ti1Ge1O5,2.7149
516,Zr3Tl2Cu2S8,0.7043000000000004
517,Zn1H6,3.242900000000001
518,U1Sn1I6,0.0676000000000001
520,Nb1Tl1Cl6,2.1491
523,Lu1Be1N1F6,1.8884
524,Li1N6O6,0.1269
525,K2La1I5,2.7388
527,La1Ga1Ge2O7,2.8911
528,Cs2Na1Ga1P2,1.3344999999999998
531,As1Ru1S1,0.9006999999999996
534,Y2Be1Al1B1O7,5.0791
535,Tl1Bi1Te2,0.0801999999999996
536,Ti1Al1Fe1O5,2.1902000000000004
538,Ta1Mn1Nb1O6,2.5615
540,Nd2Nb1Ga1O7,2.2495
541,Na1Zr1Sc1O4,3.6648
544,Na1Nb1W1O6,2.8572
545,Na3W2Cl4O4,0.3235999999999999
547,Na2Ge1Te1O6,2.7761000000000005
549,Li1Nd1Se2,0.07570000000000032
550,Li1B1H4,6.209
551,La1Sm3O6,3.7731
552,Li2U1Br6,0.16810000000000014
553,La1Co1Sb1Pb1O6,2.2293000000000003
554,K1Bi1S2,1.4658000000000002
555,K2Br1Cl1,4.4921
556,Gd1B1O3,2.6507000000000005
557,Dy1Sb1Te3,0.8720000000000008
558,Er2Mn1S4,0.1275000000000004
559,Cu1Bi5S8,0.5007999999999999
560,Cd1Pb1S2,1.0928999999999989
561,Ca1Mn1Fe1Bi1O6,0.6463000000000001
563,Al1Cr4Ag1S8,0.3534000000000006
564,Pr2Mg1Se4,1.5347
565,Gd2Mg1S4,1.2497000000000005
566,Al2O3,3.3923999999999994
567,Hf1O2,3.4010000000000002
568,Rb7V1N4,0.016000000000000014
569,Na1Pt1N1,0.5455999999999994
570,Si2Se1N2,2.9422
571,Y4S3N2,2.1703
572,Al1In1N2,1.5164999999999995
573,Sr5V2N6,0.3460000000000001
574,Rb3B1N2,1.2186
575,Sr3Sb3N5,1.4396
576,Na1Al1Si2H2O7,4.7274
578,Al1W1O3,0.4683999999999999
579,Li1Ca1Ga1F6,6.4009
580,Sr1Hf1O3,3.9893
581,Na1Sr1P1,1.2357
582,Cd1Rh2O4,0.8489000000000004
585,Sr1Ge1O3,3.387
587,Sn1W1O4,0.9213000000000005
589,Ca2P2O7,5.5021
590,Ca2U1O5,2.1379
591,Sm3Ti3Se2O8,0.03230000000000022
592,Na5Sn1P3,0.9406
594,Na1Tm1Ge1O4,3.6153
595,Na1Mn1Cr1F6,3.2799
596,Lu2Mn2O7,1.0159000000000002
597,Y1Mn1O3,0.000399999999999956
598,Ba1Mo1O4,4.146599999999999
599,Li1V1O3,3.0330000000000004
600,P1Pb1Se3,1.6507
601,Ge3Ru2,0.3814000000000002
602,Gd1V1O4,2.9685
603,Ba1Pb1O3,0.3054000000000001
604,Co3B2O6,2.1633
605,Cs1Br1,4.2433
606,I1F5,4.6815
607,B1Cl1F6,3.3033
608,Rb1I1O4,2.4311000000000003
609,Sn1H8N2F6,5.1147
610,Nd1H2Cl1O2,4.8667
611,K1P1H2O4,5.2102
613,P1H5N1O3F1,5.2946
614,Ba1Dy1Fe2O5,0.8398999999999996
615,Li3Ni1P1C1O7,4.0121
616,Ti1P2O7,2.7356
617,Na1Ag3O2,0.6596
618,Ba1H8O5,4.8099
620,Th1Zr1F8,5.6768
621,Sr4As3,0.5853999999999999
622,Na1Sc1Cl4,3.8132
623,Co2Ge3Te3,0.7490000000000006
624,Cs1Ti2I7,0.19019999999999992
625,K1Au1S5,1.7509
626,Sm1S1F1,1.2296999999999998
627,Ca1Cr2O4,2.7849000000000004
629,Cs2Cu1O2,0.014600000000000168
630,K1Cr1Cu1F6,0.3488
631,Tl1Cu1P1O4,0.010299999999999976
634,V2Cu2O7,0.007299999999999973
635,Mg2P1Cl1O4,5.0411
637,Ba2Ni2Cl1F7,4.0759
638,Cs2K2Te1O5,2.0249
639,Sr1Zr1O3,3.3637000000000006
640,Al1P1O4,5.5478000000000005
641,Li4Zn1P2O8,4.676
642,Li5Ga1O2,0.5954
643,Ca3W1Cl2O5,3.9325
644,Li1Al1Si1O4,4.6936
647,Pb1I2,2.4098
648,K2Sn1Br6,1.1709
649,Ti1Br4,2.7939
652,Tl1I1,2.2086
653,Cd1I2,2.4567
656,Cs1Hg2Br5,1.9907
657,Pb1N6,2.2879000000000005
658,Na2Hf1H6O6,4.3874
659,K3Cu1C4N4,4.1662
660,Ca1Ce1C2O6F1,0.08029999999999937
662,Lu3Nb1O7,2.0609
664,Na1Li1S1O4,5.5381
665,Ba1Ga2O4,3.0273000000000003
666,P1C2S2N3,3.2771
668,K3H1Rh1C5N5O1,3.8356
671,Na1P1H4O5,4.9949
672,Ca1Gd2O4,3.2602
673,Ba1La2O4,2.6914
674,V1O1F2,1.0798
676,Na1Sb3O8,0.2807000000000004
677,Li2V2Co1O6,1.1452
678,Li5Sb1S4,1.3595000000000002
679,Li4Mn1V3O8,0.9377
680,Li2Si1Ni1O4,3.0839000000000003
682,Cr1O1F1,1.4278
684,Na5Ni1H1O4,2.2542
688,Na2Mn1O3,1.4596
689,Na1V1P1C1O7,1.9214
690,Li3Nb1S4,1.4086000000000003
691,Ga2W1O6,2.4445
692,Li3Ni1B2O6,0.02140000000000009
696,Li2V3Co1O8,0.7871000000000001
697,Zr2N2O1,1.7706000000000004
702,K2Sn2Se5,0.8472
703,Na1Ag1C2O4,1.6807999999999998
704,Ga1S1,1.8648
705,Y1Fe1O3,1.0499
706,Al2Co2O7,0.44039999999999946
707,Mg2Cu1W1O6,0.4165000000000001
708,Zn2Mo1W1O6,1.6303000000000003
709,Eu2H3Cl1,0.07819999999999983
710,Ga1B3N4,3.710900000000001
711,He1Si1O2,6.5469
712,Sm1O3,0.17679999999999996
713,Te4Mo3Se2,1.1412
714,Cs1C2N3,4.0731
715,Na1Mg6B1O8,1.8748
716,Li1Mg6Al1O8,3.9551000000000007
717,Na2Zn2S3,2.1572
718,Sc2Co1Rh1,0.4019999999999997
719,K3As1F6,4.346
720,K2Ag1As1Cl6,1.2197
721,Na1C1O3,0.6513
723,Sm4Zr1O8,2.6001000000000003
724,Li5Mn3O8,0.5251000000000001
725,Li1Mn1F4,2.0578000000000003
728,Na1Ti1Cu3Se4,1.3536
729,Li1C1O2,0.4129
730,Pd1C8N2Cl6,0.12979999999999992
731,Li1La1C2N4,3.1565
732,Li1Sb1F4,5.1701
733,K2Cr2O7,1.4405
734,K1Sb1C6Br5,0.17079999999999995
736,K2Zn1Sn2Se6,1.5819999999999999
740,Ce1H1Se2O6,0.07359999999999989
743,In1H6Cl3O3,3.7076
745,Cu3P8Se6I3,1.3712000000000004
746,Mn2O3,0.08369999999999989
747,Y1P1O6,1.7394999999999998
748,Tb4Cd1Ni1,0.053300000000000125
751,Rb3La1Br6,3.8404
754,Lu1Tl1W2O8,2.9703000000000004
755,Li2H6Pt1O6,2.5177
756,Lu4In1Rh1,0.3091999999999997
757,K2Co1O3,0.4546
760,Ca3Sb1I3,1.6899000000000002
761,Ba1Pr1Cu1Te3,0.6455000000000002
763,Tl1In2Ga1Se4,0.3011000000000004
764,Tm1Cu3Te3,0.7786999999999997
765,Te4As2I2O1,0.8136000000000001
767,Na1Pd1F3,0.2786
768,Na2Br1Cl1O6,4.6667000000000005
769,Mo2Se1S3,1.3297999999999996
770,La1Gd1Cl2O2,2.9960000000000004
771,La4Nd4S4O7,0.4068000000000005
772,K4Na1Cl5,4.9602
774,Ba4Ge2Pb1Se8Br2,1.5823
775,Cs1Zn1Ni1F6,1.2813
776,B2O3,4.231
777,Sn1O1,0.4814999999999996
778,Sr3Sc3N5,1.7481
780,Nd1Al1O3,3.0235999999999987
782,Rb3Sb1Se4,1.3197
783,Sr2U1O5,2.1735999999999995
784,Li1V1Si2O6,2.0567
785,La2Mn1Co1O6,0.0578000000000003
787,Li1I1O3,3.6546
789,Li2H2S1O5,5.5815
790,Sr1H1Cl1O1,4.98
791,H4I1N1O4,2.4611
792,Li1V1P1O4,2.6022
794,Li1Mn1P2O7,1.2185
796,Li1Co1P1O4,3.1402
797,Er1S1Cl1,2.9329
799,Rb2Pd1Cl6,1.2844
800,Na3Au1O2,1.9745
801,Rb1S1F5,4.6838
802,Y1H1Se1,1.5168999999999997
803,Tl4Pb1I6,2.3274000000000004
805,Er1Fe6Sn6,0.005799999999998917
806,W1Cl2O2,2.0632
807,Dy2S3,1.9093
808,Rb1O2,0.08579999999999988
809,Eu1Lu2S4,0.4383999999999997
810,Cd1S1,0.2837000000000001
811,K3Ta1O8,2.9948
813,Rb3Zn1Br5,3.593
814,Cs1Sm1Zn1Se3,2.024
815,Fe3O4,0.2424000000000004
816,Li5Ge1N3,0.0014000000000002901
817,Mn1H8Br2O4,3.4722
818,Hg7Cl2O3,0.9253
819,Gd1Co2,0.0060999999999999934
820,Rb1Al1F4,6.8786000000000005
821,Nd1Bi2I1O4,1.2695
822,Ag1N1O3,1.854
824,Ba3B1P1O7,3.3373
825,Hg3P1O4,2.1319
826,La5Ti2Ag1S5O7,1.5128000000000004
828,Sn2P2O7,3.6367
830,Ta2Sn1O6,2.2900000000000005
832,Cd1I2O6,3.2428000000000003
833,Cs1Sb2F7,4.3013
834,Tl2Os1C1Br2O1F3,0.7049
836,Na1Sr1Fe1F6,4.1092
838,Na2Pd1N4O8,1.9481
840,Cs1Cd1Au1S2,2.0891
844,Sr4C1N4,1.2191999999999998
845,Zn3As2,0.17989999999999995
846,Bi1Br3,2.835
847,Rb2Zn1Cl4,4.5227
848,K1Hg1C2I1N2,2.6576
849,B3H5,3.6983
851,Se1Br1,1.4863
852,Pr3Os1I3,0.1993999999999998
853,Ca1Cl2,5.3314
854,Cs1Cr1I3,0.22120000000000006
857,Sr1Cr1O4,2.8378
858,Pb2O3,1.0725999999999996
859,Ba1H2O2,4.5412
860,H4C1S1N2,2.8026
861,Si1I4,2.8561
863,Zn1H2S1O5,4.2653
864,K5Te3,0.2951999999999999
865,Ba1Nd2Zn1O5,3.0568
867,Mg2Si1O4,3.43
868,Li3Al1Ge1O5,3.9718
870,In2Br3,2.3003
871,Ag8Ge1Te6,0.0383
872,Ti1Tl1W1O5F1,2.8106
876,Ba1S1O2,1.5130000000000003
877,Al1H4N1F4,6.8114
880,Fe2P3C8N3Cl4O8,2.365
882,Tc1Ag1O4,1.5754
884,Na1Dy1O2,4.0436
885,Mg3Zn1O4,3.1534000000000004
886,W1O1F3,2.3593
887,Li3Mn4O8,0.7509000000000001
888,Li2Mn1P1C1O7,0.4656
889,Li1V1Si1O5,2.0454
890,Li5Cu1S1O2,2.4003
891,Ba1Mg1O2,3.1605
892,Li1Mn1Si2O6,1.1997999999999998
893,Li1V1O1F3,1.8333
895,Yb1C1O3,4.7010000000000005
897,Li1Mn1P1O4F1,0.9675
900,Li5Mn3O5F3,0.6642000000000001
903,Li3Fe3O1F7,3.1027
904,Li1Sn1P1O4,3.2899000000000003
905,Ba1Ca1I4,3.1404000000000005
907,Li1Mn2O3F1,0.3914000000000004
908,Rb5Fe1O4,1.5655
909,Sr3Te1O6,3.0499
910,Dy2Sb2O7,1.9056000000000008
911,Na3I1O1,1.6774
912,Dy2Cu2O5,0.3435000000000001
913,Cr1Fe1P2O8,1.8269
914,Li2U1O4,2.0658000000000003
915,Na1Li2Fe1P1C1O7,3.8389
918,Li2V3F8,2.2001
919,Li1Cr1P1O5,0.4303
922,Al1F3,7.4251
923,Na1Al1Si1O4,4.4830000000000005
924,Rb3Ge1P1Se7,1.5585
925,Y1Sn1F7,4.7535
926,K1Li6Ta1O6,4.381900000000001
927,Ba3Na1Ru1O6,0.5326
928,Ge3Ir2Se3,0.5894000000000004
929,Ni1H2Se1O5,2.0788
930,Cs2Tl1Ga1H6,0.44200000000000017
931,Nd1Tl1Te2,0.7050000000000001
932,Ca1V1O3,0.5509000000000004
933,Mg1Mo1F6,2.4387
934,Zn1P2W1O7,0.0567000000000002
936,Sr1Si1O3,2.3904999999999994
937,Lu2Mg1Se4,1.4771
940,Mo1S2,1.5510000000000002
941,Te2W3Se4,0.8633000000000002
942,Te6Mo3W1S2,0.2926000000000002
943,Te2Mo1W3Se4S2,0.03859999999999975
945,Na3P1Se4,1.1054000000000002
946,B1C2N1,0.7233999999999998
947,K2As2Pt1,0.8096999999999999
948,Tm2Si2O7,4.7905000000000015
949,Ba1Li2Pb1,0.2986
950,Mg1Si1Pd2,0.3361000000000001
951,Li2In1Bi1,0.00550000000000006
952,Ba1Na2Sr1,0.5687999999999998
953,K2In1Ga1I6,0.15599999999999992
954,Cs2Rb1Sm1Cl6,4.9056
955,Cs2Na1Pr1Br6,4.1394
956,K2In1Ga1Br6,0.8229
957,Rb2Lu1Au1Cl6,1.892
959,Li4Co3O7,0.7163999999999997
961,Li8V1O6,1.7052
965,Na3Sb1S3,2.4046
967,H8C5,4.9387
968,La2Cu1Bi1S5,1.0925000000000002
970,Ba1Fe1O1F5,0.8692
972,Ba1La2Sc2O7,3.6348
973,In2Bi3Se7I1,1.1530999999999998
977,Nd1Mo1Cl1O4,2.6382
983,Co1C2O6,0.007000000000000006
